location,Year,Month,surveyor_code,SURVEY_NUM,TAG_CNT,TAG_NUM,survey_no_by_surveyor,comment,quality code
EE-Brac,2018,2,1,20,2,36,1,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,2,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,1,36,3,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,4,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,5,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,6,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,7,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,1,36,8,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,9,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,10,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,11,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,12,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,13,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,1,36,14,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,15,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,16,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,2,36,17,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,18,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,19,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,20,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,21,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,22,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,23,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,1,36,24,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,25,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,1,36,26,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,27,high currents- on thrusters- use this,1
EE-Brac,2018,2,1,20,0,36,28,high currents- on thrusters- use this,1
