location,Year,Month,DSPS,surveyor_code,SURVEY_NUM,TAG_CNT,TAG_NUM,TAG_SURVEY_PERSDIVE
WELC,2018,2,-2,26,50,1,118,1
WELC,2018,2,-2,26,50,1,118,2
WELC,2018,2,-2,26,50,0,118,3
WELC,2018,2,-2,26,50,0,118,4
WELC,2018,2,-2,26,50,1,118,5
WELC,2018,2,-2,26,50,1,118,6
WELC,2018,2,-2,26,50,0,118,7
WELC,2018,2,-2,26,50,0,118,8
WELC,2018,2,-2,26,50,2,118,9
WELC,2018,2,-2,26,50,1,118,10
WELC,2018,2,-2,26,50,1,118,11
WELC,2018,2,-2,26,50,1,118,12
WELC,2018,2,-2,26,50,1,118,13
WELC,2018,2,-2,26,50,0,118,14
WELC,2018,2,-2,26,50,0,118,15
WELC,2018,2,-2,26,50,0,118,16
WELC,2018,2,-2,26,50,0,118,17
WELC,2018,2,-2,26,50,1,118,18
WELC,2018,2,-2,26,50,1,118,19
WELC,2018,2,-2,26,50,0,118,20
WELC,2018,2,-2,26,50,0,118,21
WELC,2018,2,-2,26,50,0,118,22
WELC,2018,2,-2,26,50,0,118,23
WELC,2018,2,-2,26,50,0,118,24
WELC,2018,2,-2,26,50,1,118,25
WELC,2018,2,-2,26,50,0,118,26
WELC,2018,2,-2,26,50,0,118,27
WELC,2018,2,-2,26,50,2,118,28
WELC,2018,2,-2,26,50,1,118,29
WELC,2018,2,-2,26,50,1,118,30
WELC,2018,2,-2,26,50,1,118,31
WELC,2018,2,-2,26,50,2,118,32
WELC,2018,2,-2,26,50,3,118,33
WELC,2018,2,-2,26,50,0,118,34
WELC,2018,2,-2,26,50,1,118,35
WELC,2018,2,-2,26,50,0,118,36
WELC,2018,2,-2,10,50,2,118,1
WELC,2018,2,-2,10,50,0,118,2
WELC,2018,2,-2,10,50,0,118,3
WELC,2018,2,-2,10,50,1,118,4
WELC,2018,2,-2,10,50,0,118,5
WELC,2018,2,-2,10,50,0,118,6
WELC,2018,2,-2,10,50,0,118,7
WELC,2018,2,-2,10,50,3,118,8
WELC,2018,2,-2,10,50,0,118,9
WELC,2018,2,-2,10,50,1,118,10
WELC,2018,2,-2,10,50,2,118,11
WELC,2018,2,-2,10,50,1,118,12
WELC,2018,2,-2,10,50,2,118,13
WELC,2018,2,-2,10,50,1,118,14
WELC,2018,2,-2,10,50,2,118,15
WELC,2018,2,-2,10,50,0,118,16
WELC,2018,2,-2,10,50,0,118,17
WELC,2018,2,-2,10,50,0,118,18
WELC,2018,2,-2,10,50,0,118,19
WELC,2018,2,-2,10,50,1,118,20
WELC,2018,2,-2,10,50,0,118,21
WELC,2018,2,-2,10,50,0,118,22
WELC,2018,2,-2,10,50,0,118,23
WELC,2018,2,-2,10,50,0,118,24
WELC,2018,2,-2,10,50,0,118,25
WELC,2018,2,-2,10,50,1,118,26
WELC,2018,2,-2,10,50,0,118,27
WELC,2018,2,-2,10,50,1,118,28
WELC,2018,2,-2,10,50,0,118,29
WELC,2018,2,-2,10,50,2,118,30
WELC,2018,2,-2,1,50,1,118,1
WELC,2018,2,-2,1,50,1,118,2
WELC,2018,2,-2,1,50,1,118,3
WELC,2018,2,-2,1,50,1,118,4
WELC,2018,2,-2,1,50,2,118,5
WELC,2018,2,-2,1,50,0,118,6
WELC,2018,2,-2,1,50,1,118,7
WELC,2018,2,-2,1,50,1,118,8
WELC,2018,2,-2,1,50,1,118,9
WELC,2018,2,-2,1,50,0,118,10
WELC,2018,2,-2,1,50,2,118,11
WELC,2018,2,-2,1,50,1,118,12
WELC,2018,2,-2,1,50,1,118,13
WELC,2018,2,-2,1,50,0,118,14
WELC,2018,2,-2,1,50,2,118,15
WELC,2018,2,-2,1,50,0,118,16
WELC,2018,2,-2,1,50,0,118,17
WELC,2018,2,-2,1,50,1,118,18
WELC,2018,2,-2,1,50,1,118,19
WELC,2018,2,-2,1,50,0,118,20
WELC,2018,2,-2,1,50,0,118,21
WELC,2018,2,-2,1,50,1,118,22
WELC,2018,2,-2,1,50,1,118,23
WELC,2018,2,-2,1,50,0,118,24
WELC,2018,2,-2,1,50,0,118,25
WELC,2018,2,-2,1,50,0,118,26
WELC,2018,2,-2,1,50,0,118,27
WELC,2018,2,-1,5,50,0,118,1
WELC,2018,2,-1,5,50,0,118,2
WELC,2018,2,-1,5,50,0,118,3
WELC,2018,2,-1,5,50,1,118,4
WELC,2018,2,-1,5,50,0,118,5
WELC,2018,2,-1,5,50,0,118,6
WELC,2018,2,-1,5,50,0,118,7
WELC,2018,2,-1,5,50,2,118,8
WELC,2018,2,-1,5,50,0,118,9
WELC,2018,2,-1,5,50,0,118,10
WELC,2018,2,-1,5,50,0,118,11
WELC,2018,2,-1,5,50,0,118,12
WELC,2018,2,-1,5,50,0,118,13
WELC,2018,2,-1,5,50,2,118,14
WELC,2018,2,-1,5,50,0,118,15
WELC,2018,2,-1,5,50,1,118,16
WELC,2018,2,-1,5,50,0,118,17
WELC,2018,2,-1,5,50,1,118,18
WELC,2018,2,-1,5,50,1,118,19
WELC,2018,2,-1,5,50,2,118,20
WELC,2018,2,-1,5,50,1,118,21
WELC,2018,2,-1,5,50,2,118,22
WELC,2018,2,-1,5,50,2,118,23
WELC,2018,2,-1,5,50,0,118,24
WELC,2018,2,-1,5,50,0,118,25
WELC,2018,2,-1,5,50,0,118,26
WELC,2018,2,-1,5,50,2,118,27
WELC,2018,2,-1,5,50,1,118,28
WELC,2018,2,-1,5,50,1,118,29
WELC,2018,2,-1,34,50,1,118,1
WELC,2018,2,-1,34,50,0,118,2
WELC,2018,2,-1,34,50,1,118,3
WELC,2018,2,-1,34,50,0,118,4
WELC,2018,2,-1,34,50,0,118,5
WELC,2018,2,-1,34,50,1,118,6
WELC,2018,2,-1,34,50,0,118,7
WELC,2018,2,-1,34,50,0,118,8
WELC,2018,2,-1,34,50,2,118,9
WELC,2018,2,-1,34,50,0,118,10
WELC,2018,2,-1,34,50,2,118,11
WELC,2018,2,-1,34,50,0,118,12
WELC,2018,2,-1,34,50,0,118,13
WELC,2018,2,-1,34,50,0,118,14
WELC,2018,2,-1,1,50,0,118,1
WELC,2018,2,-1,1,50,0,118,2
WELC,2018,2,-1,1,50,0,118,3
WELC,2018,2,-1,1,50,0,118,4
WELC,2018,2,-1,36,50,1,118,1
WELC,2018,2,-1,36,50,0,118,2
WELC,2018,2,-1,36,50,0,118,3
WELC,2018,2,-1,36,50,0,118,4
WELC,2018,2,-1,36,50,1,118,5
WELC,2018,2,-1,36,50,2,118,6
WELC,2018,2,-1,36,50,0,118,7
WELC,2018,2,-1,36,50,0,118,8
WELC,2018,2,-1,36,50,0,118,9
WELC,2018,2,-1,36,50,0,118,10
WELC,2018,2,-1,36,50,0,118,11
WELC,2018,2,-1,36,50,0,118,12
WELC,2018,2,-1,36,50,0,118,13
WELC,2018,2,-1,5,50,0,118,1
WELC,2018,2,-1,5,50,0,118,2
WELC,2018,2,-1,5,50,0,118,3
WELC,2018,2,-1,5,50,1,118,4
WELC,2018,2,-1,5,50,1,118,5
WELC,2018,2,-1,5,50,0,118,6
WELC,2018,2,-1,5,50,0,118,7
WELC,2018,2,-1,5,50,0,118,8
WELC,2018,2,-1,5,50,0,118,9
WELC,2018,2,-1,5,50,0,118,10
WELC,2018,2,-1,5,50,0,118,11
WELC,2018,2,-1,5,50,0,118,12
WELC,2018,2,-1,5,50,0,118,13
WELC,2018,2,-1,5,50,0,118,14
WELC,2018,2,-1,10,50,0,118,1
WELC,2018,2,-1,10,50,0,118,2
WELC,2018,2,-1,10,50,2,118,3
WELC,2018,2,-1,10,50,0,118,4
WELC,2018,2,-1,10,50,2,118,5
WELC,2018,2,-1,10,50,0,118,6
WELC,2018,2,-1,10,50,2,118,7
WELC,2018,2,-1,10,50,0,118,8
WELC,2018,2,-1,10,50,0,118,9
WELC,2018,2,-1,10,50,0,118,10
WELC,2018,2,-1,10,50,0,118,11
WELC,2018,2,-1,10,50,0,118,12
WELC,2018,2,-1,10,50,0,118,13
WELC,2018,2,-1,10,50,1,118,14
WELC,2018,2,-1,10,50,0,118,15
WELC,2018,2,-1,10,50,2,118,16
WELC,2018,2,-1,10,50,0,118,17
WELC,2018,2,-1,10,50,0,118,18
WELC,2018,2,-1,10,50,0,118,19
WELC,2018,2,-1,10,50,1,118,20
WELC,2018,2,-1,10,50,0,118,21
WELC,2018,2,-1,10,50,0,118,22
WELC,2018,2,-1,10,50,1,118,23
WELC,2018,2,-1,10,50,1,118,24
WELC,2018,2,-1,10,50,1,118,25
WELC,2018,2,-1,10,50,2,118,26
WELC,2018,2,-1,10,50,1,118,27
WELC,2018,2,-1,10,50,1,118,28
WELC,2018,2,-1,10,50,1,118,29
WELC,2018,2,-1,10,50,3,118,30
WELC,2018,2,-1,10,50,1,118,31
WELC,2018,2,-1,10,50,2,118,32
WELC,2018,2,-1,10,50,2,118,33
WELC,2018,2,-1,10,50,0,118,34
WELC,2018,2,0,10,50,5,118,1
WELC,2018,2,0,10,50,1,118,2
WELC,2018,2,0,10,50,1,118,3
WELC,2018,2,0,10,50,0,118,4
WELC,2018,2,0,10,50,1,118,5
WELC,2018,2,0,10,50,1,118,6
WELC,2018,2,0,10,50,1,118,7
WELC,2018,2,0,10,50,0,118,8
WELC,2018,2,0,10,50,0,118,9
WELC,2018,2,0,10,50,0,118,10
WELC,2018,2,0,10,50,0,118,11
WELC,2018,2,0,10,50,0,118,12
WELC,2018,2,0,10,50,1,118,13
WELC,2018,2,0,10,50,0,118,14
WELC,2018,2,0,10,50,0,118,15
WELC,2018,2,0,10,50,0,118,16
WELC,2018,2,0,10,50,2,118,17
WELC,2018,2,0,10,50,1,118,18
WELC,2018,2,0,10,50,1,118,19
WELC,2018,2,0,10,50,1,118,20
WELC,2018,2,0,10,50,0,118,21
WELC,2018,2,0,10,50,1,118,22
WELC,2018,2,0,10,50,2,118,23
WELC,2018,2,0,10,50,0,118,24
WELC,2018,2,0,10,50,0,118,25
WELC,2018,2,0,10,50,0,118,26
WELC,2018,2,0,10,50,0,118,27
WELC,2018,2,0,10,50,0,118,28
WELC,2018,2,0,10,50,1,118,29
WELC,2018,2,0,10,50,0,118,30
WELC,2018,2,0,10,50,1,118,31
WELC,2018,2,0,10,50,0,118,32
WELC,2018,2,0,10,50,0,118,33
WELC,2018,2,0,10,50,0,118,34
WELC,2018,2,0,36,50,0,118,1
WELC,2018,2,0,36,50,2,118,2
WELC,2018,2,0,36,50,0,118,3
WELC,2018,2,0,36,50,1,118,4
WELC,2018,2,0,36,50,1,118,5
WELC,2018,2,0,36,50,0,118,6
WELC,2018,2,0,36,50,0,118,7
WELC,2018,2,0,36,50,2,118,8
WELC,2018,2,0,36,50,0,118,9
WELC,2018,2,0,36,50,1,118,10
WELC,2018,2,0,36,50,0,118,11
WELC,2018,2,0,36,50,1,118,12
WELC,2018,2,0,36,50,1,118,13
WELC,2018,2,0,36,50,0,118,14
WELC,2018,2,0,36,50,1,118,15
WELC,2018,2,0,36,50,1,118,16
WELC,2018,2,0,36,50,0,118,17
WELC,2018,2,0,36,50,1,118,18
WELC,2018,2,0,36,50,1,118,19
WELC,2018,2,0,36,50,0,118,20
WELC,2018,2,0,36,50,0,118,21
WELC,2018,2,0,36,50,1,118,22
WELC,2018,2,0,36,50,2,118,23
WELC,2018,2,0,36,50,2,118,24
WELC,2018,2,0,36,50,0,118,25
WELC,2018,2,0,36,50,1,118,26
WELC,2018,2,0,36,50,0,118,27
WELC,2018,2,0,36,50,1,118,28
WELC,2018,2,0,36,50,0,118,29
WELC,2018,2,0,36,50,1,118,30
WELC,2018,2,0,26,50,2,118,1
WELC,2018,2,0,26,50,1,118,2
WELC,2018,2,0,26,50,3,118,3
WELC,2018,2,0,26,50,1,118,4
WELC,2018,2,0,26,50,0,118,5
WELC,2018,2,0,26,50,0,118,6
WELC,2018,2,0,26,50,1,118,7
WELC,2018,2,0,26,50,0,118,8
WELC,2018,2,0,26,50,0,118,9
WELC,2018,2,0,26,50,3,118,10
WELC,2018,2,0,26,50,2,118,11
WELC,2018,2,0,26,50,2,118,12
WELC,2018,2,0,26,50,0,118,13
WELC,2018,2,0,26,50,2,118,14
WELC,2018,2,0,26,50,1,118,15
WELC,2018,2,0,26,50,2,118,16
WELC,2018,2,0,26,50,0,118,17
WELC,2018,2,0,26,50,0,118,18
WELC,2018,2,0,26,50,2,118,19
WELC,2018,2,0,26,50,0,118,20
WELC,2018,2,0,26,50,0,118,21
WELC,2018,2,0,26,50,0,118,22
WELC,2018,2,0,26,50,1,118,23
WELC,2018,2,0,26,50,1,118,24
WELC,2018,2,0,26,50,2,118,25
WELC,2018,2,0,26,50,2,118,26
WELC,2018,2,0,26,50,1,118,27
WELC,2018,2,0,26,50,0,118,28
WELC,2018,2,0,26,50,2,118,29
WELC,2018,2,0,40,50,0,118,1
WELC,2018,2,0,40,50,0,118,2
WELC,2018,2,0,40,50,1,118,3
WELC,2018,2,0,40,50,1,118,4
WELC,2018,2,0,40,50,1,118,5
WELC,2018,2,0,40,50,0,118,6
WELC,2018,2,0,40,50,1,118,7
WELC,2018,2,0,40,50,1,118,8
WELC,2018,2,0,40,50,0,118,9
WELC,2018,2,0,40,50,0,118,10
WELC,2018,2,0,40,50,0,118,11
WELC,2018,2,0,40,50,0,118,12
WELC,2018,2,0,40,50,0,118,13
WELC,2018,2,0,40,50,0,118,14
WELC,2018,2,0,40,50,0,118,15
WELC,2018,2,0,40,50,0,118,16
WELC,2018,2,0,40,50,0,118,17
WELC,2018,2,0,40,50,1,118,18
WELC,2018,2,0,40,50,0,118,19
WELC,2018,2,0,40,50,2,118,20
WELC,2018,2,0,40,50,0,118,21
WELC,2018,2,0,40,50,0,118,22
WELC,2018,2,0,40,50,0,118,23
WELC,2018,2,0,40,50,0,118,24
WELC,2018,2,0,40,50,0,118,25
WELC,2018,2,0,40,50,0,118,26
WELC,2018,2,0,40,50,0,118,27
WELC,2018,2,0,40,50,2,118,28
WELC,2018,2,0,10,50,3,118,1
WELC,2018,2,0,10,50,1,118,2
WELC,2018,2,0,10,50,1,118,3
WELC,2018,2,0,10,50,0,118,4
WELC,2018,2,0,10,50,0,118,5
WELC,2018,2,0,10,50,0,118,6
WELC,2018,2,0,10,50,0,118,7
WELC,2018,2,0,10,50,1,118,8
WELC,2018,2,0,10,50,1,118,9
WELC,2018,2,0,10,50,0,118,10
WELC,2018,2,0,10,50,0,118,11
WELC,2018,2,0,10,50,0,118,12
WELC,2018,2,0,10,50,1,118,13
WELC,2018,2,0,10,50,0,118,14
WELC,2018,2,0,10,50,1,118,15
WELC,2018,2,0,10,50,0,118,16
WELC,2018,2,0,10,50,0,118,17
WELC,2018,2,0,10,50,1,118,18
WELC,2018,2,0,10,50,1,118,19
WELC,2018,2,0,10,50,1,118,20
WELC,2018,2,0,10,50,2,118,21
WELC,2018,2,0,10,50,0,118,22
WELC,2018,2,0,10,50,0,118,23
WELC,2018,2,0,10,50,1,118,24
WELC,2018,2,0,34,50,1,118,1
WELC,2018,2,0,34,50,0,118,2
WELC,2018,2,0,34,50,0,118,3
